id,视频BV号（bvid）,标题（title,播放量（play,点赞数（like）,收藏数（favorite）,投币数（coin）,评论数（reply）,Up主名称（authon_name),Up主UID（mid）,粉丝数（fans）,标签（tags）,视频时长（秒）（durtion）
39,BV1oQTT6KEb7,致敬！中国首批缉毒警已全体退休,1570391,301976,36537,115572,5402,央视新闻,456664753,24048581,"禁毒,缉毒警",1154
40,BV1VXT56UENV,铁罐轴承珠融合，最后会出什么花纹？,598840,47794,3499,3785,1621,余铁匠打铁日常,414367068,340722,"寻找100位非遗手艺人,手工,生活记录,原创,现场,刀,非遗,刀剑,记录,创作灵感",737
41,BV1wzTT6LE49,我把队友的7连跪剪成了艺术,2154288,108764,10391,5020,2110,小艾Ain,20110331,150619,"王者荣耀UP主激励计划,王者荣耀,爱马tv,我的峡谷小剧场,王者荣耀六月创作激励活动,巅峰赛",133
42,BV1zzKQ6FEK3,要多少气球才能让房子飘起来！？答案是...🤩 #挑战# #野兽先生# #MrBeast# #vlog# #整活#,2452991,177372,9136,3370,2348,野兽先生MrBeast,1027737427,7968509,"MrBeast是谁,小视频",22
43,BV1K7KS6iEB7,《赛博朋克：边缘行者 2》｜官方预告片,1054297,73441,18127,19880,9784,CD_PROJEKT,271442527,1112895,"动画,新番,赛博朋克2077,动漫,游戏,二次元,赛博朋克边缘行者2,赛博朋克边缘行者",91
44,BV1DP7K61ECY,你这一辈子有没有为进山姆拼过命？,2554795,202133,18621,3312,5549,菜包豆本豆,377763688,25055,"搞笑小剧场,人类模仿ai,山姆,豆包,ai,精神状态",65
45,BV1uB7V6iEqm,复古未来主义沙画「夜泳」,673795,72729,12909,3924,788,Raven沙画,16754336,25212,"画师百日创作挑战,绘画过程,绘画,美术,沙画,手绘,原创,设计,艺术,复古未来主义",159
46,BV13o7W6PEcJ,《我落泪情绪零碎》,1242804,49080,15568,38726,21376,王濛,1527390033,844280,乘风2026,293
47,BV1v47s6kEzf,多功能求生吊坠 第四轮迭代汇报,747197,56448,9726,972,892,一诺求生录,1859189432,1630221,"一起做手工吧！,求生,创意,测评,手工,种草,玩具,生存狂,吊坠,配饰",186
48,BV12mKR6nE1f,《传奇耐电王》,497670,57226,2634,2180,1230,伤心欲茄222,3493260618106930,4232173,"配音小剧场,搞笑,八嘎",120
49,BV1P4KQ6MEnj,《共患难》,1268770,78291,3228,2493,939,李万基fit,3546638173866140,655243,"搞笑研究所,原创",132
50,BV1bcTP6CETe,我是一只猫妖，无意掉入老虎窝，躲进虎穴冒充虎崽，结果被宠成真小老虎,549377,9173,4546,1513,546,Al漫剧小剧场,3690999987571180,3161,"动画种草激励计划,老虎,动漫,古风,二次元,搞笑,国产动画,小老虎,猫妖,动画全集",1944
110,BV15LKd6wEtR,哪来的傻孩子啊,579475,48118,5447,822,249,_离咕咕,284476852,1264062,"搞笑,娱乐,超级变色龙MECCHA,沙雕",259
116,BV1U87E6jE6G,2026年7-9月国创夏季导视-哔哩哔哩版权国创,210678,3611,917,188,343,哔哩哔哩国创,98627270,7588172,,1341
131,BV1cCjd6uE4w,AI时代，所有人都应该用语音输入,586134,30375,6000,760,250,数字游牧人,4848323,414795,"人工智能,AI,千问,typeless,千问电脑办公,千问电脑端,千问语音输入法",371
133,BV1pQKD6wEc6,第一次在芬兰市中心摆摊创业卖手工酱香饼蛋烘糕大爆单！咸甜粽子各国老外炫到狂飙中文！火爆街头大排长龙！,959652,47441,6862,17239,1382,雨琪在芬兰,323024456,2274044,"记录我的美食日常,摆摊创业,海外摆摊,中国美食餐车,酱香饼,文化输出,蛋烘糕,老外吃中餐,端午美食,外国人吃中国美食",2133
134,BV1a77j62Ekx,和江西老爸，挑战江西一日三餐！！到底多好吃？？,3216103,268730,32228,37115,5271,Meetfood觅食,447317111,5457593,"舌尖真探事务所,吃货,美食,4K,JoeJoe,大众点评必吃榜,赣州,江西,三餐,探店",800
139,BV11t7G6WEVX,这谁能绷住？忍不住画了下来暂不考虑接稿！,1357456,120444,12578,687,907,苦茶就是荼,430100854,625464,"猫猫,可爱,生活记录,记录",18
140,BV1tXTM6sEJj,《男人至死是傻得儿》,644034,19776,1588,820,253,龙三条,5024187,1620995,"美剧,搞笑美漫,AmericanDad,名场面,美国老爹,美漫,Steve,Stan,Roger,搞笑美剧",1214
147,BV1UfKQ6LEtE,真是一台好车,349326,14721,3368,7347,832,极速拍档,25150941,3520312,"跑车,改装,性能车,赛道,莲花,二手车,汽车知识,老车,Elise,莲花跑车",1870
151,BV1Cu7p6jEH5,4种红薯的满分吃法！有手就会…但能让你大为震撼！,2376137,124545,124528,26235,615,元气八眉菌,20546476,2252034,"宅家美食连更挑战,下午茶,甜品,吃货,小吃,烤地瓜,美食教程,红薯,有手就会,美食复刻",498
152,BV1LcKS67Efe,顶疯作案，掩月之巅【凡人官方二创大会】,299612,20408,2388,2729,652,么鸣堂,249295355,92738,"凡人官方二创大会,杀马特,凡人修仙传,AI整活,修仙时代,动画种草,updream,南宫阙,国漫巅峰,南宫婉",143
153,BV13MKS6kE6V,对不起，五年前我不该网暴至冬,455622,32243,3601,2272,926,不是的的是のの,6875363,1747503,"至冬,冷脸萌,安娜丝塔夏·费奥多罗夫娜·雪奈茨娜娅,国际象棋,偷家,富人,钟离,冰之女皇,原神",166
154,BV1ix7s6VEu9,看看赶海都能遇到啥,1766543,41183,3508,798,212,辉老板赶海,3546603533109320,560394,"赶海,户外,三农",130
155,BV1Fv7H66E7M,这辈子过得最痛苦的生日...,1294213,123316,13332,24645,2224,盗月社食遇记,99157282,8411764,"记录我的美食日常,生活记录,搞笑,快乐,盲盒挑战,大众点评必吃榜,大众点评,记录,朋友,生日快乐",1490
156,BV16xKo6VECt,高考没带准考证请直接拉到工厂，给《翘楚》《炽夏》走个面儿,153904,13159,2610,7122,1172,蜡笔小坨恰恰恰,628427286,754784,"影视剧情课代表,陈都灵,搞笑,高考,影评杂谈,周柯宇,包上恩,翘楚,炽夏,周翊然",1968
157,BV1GMKQ6nEy7,导员 我们真不是故意的…,1085445,92710,8964,669,383,CCCmlng小陈不憨,42019920,1197196,"B站小剧场,生活记录,搞笑,原创,娱乐,校园,老师,导员",36
159,BV1J6jQ6REN2,除了学习什么都学的舅舅！！1~38超长合集！,8618374,461517,660009,75296,1313,猫meme电影院,3690975337647040,374443,"原创,猫meme,合集",4977
162,BV1cp7L6xETe,夫妻生活太无聊，所以我……,2623937,44877,31496,16680,609,英雄哪里出来,319521269,1365298,"科技猎手,计算机,编程,科技科普,悟空安全,弹窗,杀毒软件,Python,安全软件,整活",306
163,BV1D9KQ6UEiA,护士姐姐：学吧，这就是商务枪法.丨《内脏医生》02,59892,10172,4081,8756,898,小熊flippy,8730238,1175763,"整点电子榨菜,恐怖游戏,搞笑,维斯拉医生,沙雕,恐怖奶奶",2160
168,BV1FFTN6PEST,全球首发！核电站彩蛋！36位密码门！空气墙迷宫我们整出来啦！「三角洲S10赛季」,2666427,139536,72592,39542,7312,Key725,11332884,1327415,"三角洲S10裂变新赛季,彩蛋,解密,空气墙迷宫,三角洲行动,三角洲S10新赛季33任务攻略,36位密码门,核电站,新赛季,老key",616
169,BV1Gu7H6tEse,我设置了全宇宙最安全的密码,4287895,219576,59849,46261,2821,老番茄,546195,20470502,"推荐宝藏游戏,老番茄,高能,解谜,实况,密码,搞笑,沙雕,password game",828
170,BV1qJ5w6MEeS,UCLA计算机硕士 流放非洲上学教程,336222,24994,2171,1003,586,谢万宁Shawn,11676354,231003,"Vlog生活B面,留学生,第一视角,vlog,徕芬,专业动作 请勿模仿,徕芬剃须刀,徕芬剃须刀P3,徕芬剃须刀T2,大学生",73
172,BV1jRKU6HEdG,手刃完颜专员，重创罗马奇观，降伏圣女贞德，最强英国主公！【帝国时代4】,641267,47711,9814,23932,1732,DarkCarrot,21869937,1372100,,1296
173,BV16tTg6JEjT,终于把好哥们处成了情侣!,1285586,27928,7924,4165,3586,老吴和小付,556182948,1685,"爱的100种表达方式,情侣,情感,生活记录,男朋友,爱情,异地恋,从校园开始的恋爱,情侣日常,结束异地恋",147
174,BV1GgTG66Etb,老外对中国cosplay竟这样评价…,769268,61260,9688,1895,1349,河野华,18343098,3261103,"bilibilionly同人扶持计划,漫展,动漫,二次元,美少女,崩坏：星穹铁道,saber,河野华,海外,Cosplay",350
175,BV1sSKX63EfB,这还是三角洲吗？核电站居然改这么勤快？这满满的求生欲啊！「三角洲S10赛季」,716929,22665,2269,718,5115,Key725,11332884,1327425,"三角洲S10裂变新赛季,公告,三角洲行动,核电站,更新,更改,新赛季,老key",312
177,BV12AKX6kEMK,【解说员】国宴级别....,180276,16530,2470,4935,682,women51,40006642,888635,"火影手游,游戏解说,决斗场,火影忍者,解说员,高手,格斗游戏,段位,火影忍者手游",1076
178,BV1aATg6iE4m,只需要用开水烫一烫 就能做出超好吃的凉拌牛肉！简单方便！酸辣开胃太适合夏天啦！！,1258453,61014,15223,953,2758,房纠纠,2007288208,194083,"记录我的美食日常,美食制作,美食教程,家常菜,夏天,开胃菜,凉拌牛肉",51
179,BV16s7b68EwG,自然光｜papi酱&窦文涛：驴与跑步机,1488592,44286,34647,29260,4210,窦文涛的聊客,3706971419052100,265356,"上B站看播客,聊客,窦文涛的聊客,鄂尔多斯 1980,#鄂尔多斯 1980自然光,自然光播客,窦文涛,papi酱,自然光",9306
180,BV1gg7h6UEs8,嘉 豪 领 域,3338158,166622,80777,5633,2681,圆球鼠STG,699110573,326600,"捉迷藏,画画躲猫猫,嘉豪",121
181,BV1vnj26AEzx,假如志愿填报是款游戏......,1900865,104058,15416,2247,1014,豆豆豆豆逗是我,447212385,417554,"大学专业花式测评,搞笑,大学,第一人称,游戏,高考,夸克高考,夸克志愿填报法,大学生,志愿填报",360
182,BV17Z7a6vEKo,我吃遍了西安最強的街頭小吃，第九家強得離譜！,1668244,38980,21877,14209,3081,丹牛食走起,438926406,941946,"舌尖真探事务所,小吃,西安,街头美食,美食侦探,西安美食,探店",1673
183,BV1vBTg6kEpd,终极硬筋流狂铁12.0，何为对抗路的尽头,1015802,46916,37286,4094,1027,江东蟹宝王,485919810,201021,"王者荣耀UP主激励计划,娱乐,电子竞技,小满,游戏视频,王者荣耀,MOBA,教程攻略,狂铁,对抗路",343
185,BV1RdTT6YEh2,【原神幼儿园】草神的拼音课,303492,50819,8572,3310,863,原神幼儿园-持续更新,3706970311756480,8003,"月神,原神二创,八重神子,芙宁娜,ai,原神,派蒙,草神,雷电将军",84
