id,bvid,title,play,like,favorite,coin,reply,author_name,mid,fans,tname,tags,cover,duration,detail_url,点赞率,收藏率,投币率,评论率,互动总分
48,BV12mKR6nE1f,《传奇耐电王》,497670,57226,2634,2180,1230,伤心欲茄222,3493260618106936,4232173,,"配音小剧场,搞笑,八嘎",http://i0.hdslb.com/bfs/archive/29557f3b0d780608d8e7e4d371170c9549ac625f.jpg,120,https://www.bilibili.com/video/BV12mKR6nE1f,0.11498784335001105,0.0052926638133703055,0.0043804127232905336,0.0024715172704804387,0.13415918178712802
49,BV1P4KQ6MEnj,《共患难》,1268770,78291,3228,2493,939,李万基fit,3546638173866146,655243,,"搞笑研究所,原创",http://i0.hdslb.com/bfs/archive/15e37ead6d9ca08091dbd8d0ec0ef4b5ebff09a9.jpg,132,https://www.bilibili.com/video/BV1P4KQ6MEnj,0.061706219409349214,0.002544196347643781,0.0019648951346579757,0.000740086855773702,0.07019239105590454
50,BV1bcTP6CETe,我是一只猫妖，无意掉入老虎窝，躲进虎穴冒充虎崽，结果被宠成真小老虎,549377,9173,4546,1513,546,Al漫剧小剧场,3690999987571180,3161,,"动画种草激励计划,老虎,动漫,古风,二次元,搞笑,国产动画,小老虎,猫妖,动画全集",http://i2.hdslb.com/bfs/archive/896b42ebc4497c7a6a0a6560d58fb85ad4256802.jpg,1944,https://www.bilibili.com/video/BV1bcTP6CETe,0.01669709507314649,0.008274827668431696,0.0027540286542756614,0.0009938530371675553,0.035611246921512914
110,BV15LKd6wEtR,哪来的傻孩子啊,579475,48118,5447,822,249,_离咕咕,284476852,1264062,,"搞笑,娱乐,超级变色龙MECCHA,沙雕",http://i1.hdslb.com/bfs/archive/82019abecd2a391a86f872aec39224f5bc143e92.jpg,259,https://www.bilibili.com/video/BV15LKd6wEtR,0.08303723197722077,0.009399887829500842,0.0014185253893610596,0.0004296992967772553,0.1004038137969714
116,BV1U87E6jE6G,2026年7-9月国创夏季导视-哔哩哔哩版权国创,210678,3611,917,188,343,哔哩哔哩国创,98627270,7588172,,,http://i1.hdslb.com/bfs/archive/d3090707bb38f94817f43f5b2e98e343bc4c53db.png,1341,https://www.bilibili.com/video/BV1U87E6jE6G,0.017139900701544537,0.004352613941655038,0.0008923570567406184,0.0016280769705427239,0.027081612698051056
131,BV1cCjd6uE4w,AI时代，所有人都应该用语音输入,586134,30375,6000,760,250,数字游牧人,4848323,414795,,"人工智能,AI,千问,typeless,千问电脑办公,千问电脑端,千问语音输入法",http://i2.hdslb.com/bfs/archive/46dcdb579424d14e0709d0451d2e6bb34d301365.jpg,371,https://www.bilibili.com/video/BV1cCjd6uE4w,0.05182262076589995,0.010236567064869126,0.001296631828216756,0.00042652362770288023,0.07019725864734003
133,BV1pQKD6wEc6,第一次在芬兰市中心摆摊创业卖手工酱香饼蛋烘糕大爆单！咸甜粽子各国老外炫到狂飙中文！火爆街头大排长龙！,959652,47441,6862,17239,1382,雨琪在芬兰,323024456,2274044,,"记录我的美食日常,摆摊创业,海外摆摊,中国美食餐车,酱香饼,文化输出,蛋烘糕,老外吃中餐,端午美食,外国人吃中国美食",http://i2.hdslb.com/bfs/archive/1ac46682c4d2d7f3bff5477269ec8ba38e2138bd.jpg,2133,https://www.bilibili.com/video/BV1pQKD6wEc6,0.049435628748754755,0.007150508726079871,0.017963803545451892,0.001440105371530513,0.09752910430030887
134,BV1a77j62Ekx,和江西老爸，挑战江西一日三餐！！到底多好吃？？,3216103,268730,32228,37115,5271,Meetfood觅食,447317111,5457593,,"舌尖真探事务所,吃货,美食,4K,JoeJoe,大众点评必吃榜,赣州,江西,三餐,探店",http://i2.hdslb.com/bfs/archive/b52b2fce8fc480a639d7fdafaf91ab48132b9c6a.jpg,800,https://www.bilibili.com/video/BV1a77j62Ekx,0.08355764725196924,0.010020823338058513,0.011540364223409512,0.0016389400463853302,0.12330855075226135
139,BV11t7G6WEVX,这谁能绷住？忍不住画了下来暂不考虑接稿！,1357456,120444,12578,687,907,苦茶就是荼,430100854,625464,,"猫猫,可爱,生活记录,记录",http://i1.hdslb.com/bfs/archive/5c58065143ead04f2ff9bc31826a497938a7a93b.jpg,18,https://www.bilibili.com/video/BV11t7G6WEVX,0.08872773776829598,0.00926586202425714,0.0005060937518416803,0.0006681616199714761,0.10430687992833654
140,BV1tXTM6sEJj,《男人至死是傻得儿》,644034,19776,1588,820,253,龙三条,5024187,1620995,,"美剧,搞笑美漫,AmericanDad,名场面,美国老爹,美漫,Steve,Stan,Roger,搞笑美剧",http://i0.hdslb.com/bfs/archive/b89fec05c259886f1150ec78c5a962add52ac67c.jpg,1214,https://www.bilibili.com/video/BV1tXTM6sEJj,0.03070645338600136,0.0024657083321687986,0.001273224705527969,0.0003928364030470441,0.03734430169835754
147,BV1UfKQ6LEtE,真是一台好车,349326,14721,3368,7347,832,极速拍档,25150941,3520312,,"跑车,改装,性能车,赛道,莲花,二手车,汽车知识,老车,Elise,莲花跑车",http://i0.hdslb.com/bfs/archive/4b2aad67ffdbe7004a12e3caaa4b13b2b829380f.jpg,1870,https://www.bilibili.com/video/BV1UfKQ6LEtE,0.042141151818072514,0.009641423770346325,0.02103193005960049,0.002381729387448973,0.10104887698024195
151,BV1Cu7p6jEH5,4种红薯的满分吃法！有手就会…但能让你大为震撼！,2376137,124545,124528,26235,615,元气八眉菌,20546476,2252034,,"宅家美食连更挑战,下午茶,甜品,吃货,小吃,烤地瓜,美食教程,红薯,有手就会,美食复刻",http://i0.hdslb.com/bfs/archive/f334e754e35dd7f974c2fae91c24118cc65e3996.jpg,498,https://www.bilibili.com/video/BV1Cu7p6jEH5,0.05241490705291824,0.0524077525832896,0.011041030041617972,0.00025882346009510393,0.15336741947118368
